"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","477","Cenario 02: Não deve realizar login com email invalido","","Mon Jun 16 12:21:37 GMT 2025","passed","Mon Jun 16 12:21:37 GMT 2025","","Feature: Teste de Login de Usuário","automation.dev.serverest.api.tests.LoginUserTest","loginWithInvalidEmail"
"","399","Cenario 06: Deve validar o contrato de resposta ao realizar cadastro com sucesso","","Mon Jun 16 12:21:43 GMT 2025","passed","Mon Jun 16 12:21:44 GMT 2025","","Feature: Teste de Cadastro de Usuário","automation.dev.serverest.api.tests.RegisterTest","validateRegistrationSuccessContract"
"","353","Cenario 02: Deve falhar ao realizar cadastro com e-mail inválido","","Mon Jun 16 12:21:42 GMT 2025","passed","Mon Jun 16 12:21:42 GMT 2025","","Feature: Teste de Cadastro de Usuário","automation.dev.serverest.api.tests.RegisterTest","registrationWithInvalidEmail"
"","398","Cenario 04: Deve falhar ao realizar edição com campos nulos","","Mon Jun 16 12:21:45 GMT 2025","passed","Mon Jun 16 12:21:45 GMT 2025","","Feature: Testes de Edição de Usuário","automation.dev.serverest.api.tests.EditUserTest","editUserWithNullFields"
"","390","Cenario 04: Não deve realizar login com senha inválida","","Mon Jun 16 12:21:38 GMT 2025","passed","Mon Jun 16 12:21:38 GMT 2025","","Feature: Teste de Login de Usuário","automation.dev.serverest.api.tests.LoginUserTest","loginWithInvalidPassword"
"","386","Cenario 03: Deve falhar ao realizar cadastro com nome em branco","","Mon Jun 16 12:21:42 GMT 2025","passed","Mon Jun 16 12:21:43 GMT 2025","","Feature: Teste de Cadastro de Usuário","automation.dev.serverest.api.tests.RegisterTest","registrationWithEmptyName"
"","390","Cenario 09: Não deve realizar login com senha nula","","Mon Jun 16 12:21:40 GMT 2025","passed","Mon Jun 16 12:21:40 GMT 2025","","Feature: Teste de Login de Usuário","automation.dev.serverest.api.tests.LoginUserTest","loginWithNullPassword"
"","382","Cenario 07: Não deve realizar login com email e senha com espaços em branco","","Mon Jun 16 12:21:39 GMT 2025","passed","Mon Jun 16 12:21:39 GMT 2025","","Feature: Teste de Login de Usuário","automation.dev.serverest.api.tests.LoginUserTest","loginWithSpacesInCredentials"
"","426","Cenario 03: Não deve realizar login com email vazio","","Mon Jun 16 12:21:37 GMT 2025","passed","Mon Jun 16 12:21:38 GMT 2025","","Feature: Teste de Login de Usuário","automation.dev.serverest.api.tests.LoginUserTest","loginWithEmptyEmail"
"","412","Cenario 05: Não deve realizar login com senha vazia","","Mon Jun 16 12:21:38 GMT 2025","passed","Mon Jun 16 12:21:38 GMT 2025","","Feature: Teste de Login de Usuário","automation.dev.serverest.api.tests.LoginUserTest","loginWithEmptyPassword"
"","353","Cenario 05: Deve validar o contrato de resposta ao editar usuário com sucesso","","Mon Jun 16 12:21:45 GMT 2025","passed","Mon Jun 16 12:21:45 GMT 2025","","Feature: Testes de Edição de Usuário","automation.dev.serverest.api.tests.EditUserTest","validateEditUserContract"
"","136","Cenario 02: Deve validar o contrato de resposta ao obter um usuário na lista","","Mon Jun 16 12:21:46 GMT 2025","passed","Mon Jun 16 12:21:46 GMT 2025","","Feature: Teste de Obtenção de Usuário","automation.dev.serverest.api.tests.GetUserTest","validateGetUserContract"
"","350","Cenario 01: Deve realizar edição com sucesso","","Mon Jun 16 12:21:44 GMT 2025","passed","Mon Jun 16 12:21:44 GMT 2025","","Feature: Testes de Edição de Usuário","automation.dev.serverest.api.tests.EditUserTest","editUserSuccessful"
"","1178","Cenario 10: Deve validar o contrato de resposta ao realizar login com sucesso","","Mon Jun 16 12:21:40 GMT 2025","passed","Mon Jun 16 12:21:41 GMT 2025","","Feature: Teste de Login de Usuário","automation.dev.serverest.api.tests.LoginUserTest","validateLoginSuccessContract"
"","127","Cenario 01: Deve obter um usuario na lista","","Mon Jun 16 12:21:45 GMT 2025","passed","Mon Jun 16 12:21:46 GMT 2025","","Feature: Teste de Obtenção de Usuário","automation.dev.serverest.api.tests.GetUserTest","getAUserInTheList"
"","357","Cenario 05: Deve falhar ao realizar cadastro com senha em branco","","Mon Jun 16 12:21:43 GMT 2025","passed","Mon Jun 16 12:21:43 GMT 2025","","Feature: Teste de Cadastro de Usuário","automation.dev.serverest.api.tests.RegisterTest","registrationWithEmptyPassword"
